,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,
Debug rom,,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
setintmask,,,3860,80003CC0,A0,3860,80003CC0,A0,3860,80003CC0,A0,39C0,80003E20,A0,3A20,80003E80,A0,39C0,80003E20,A0,39E0,80003E40,A0,34A0,80003900,A0,34A0,80003900,A0,34A0,80003900,A0,34A0,80003900,A0,34A0,80003900,A0,,,,,,,34A0,80003900,A0,4AE0,80004f40,a0,34A0,80003900,A0,,,,,,
visetmode,,,3900,80003D60,70,3900,80003D60,70,3900,80003D60,70,3A60,80003EC0,70,3AC0,80003F20,70,3A60,80003EC0,70,3A80,80003EE0,70,3540,800039A0,60,3540,800039A0,60,3540,800039A0,60,3540,800039A0,60,3540,800039A0,60,,,,,,,3540,800039A0,60,4B80,80004fe0,60,3540,800039A0,60,,,,,,
probetlb,Need to check boundary,,3970,80003DD0,C0,3970,80003DD0,C0,3970,80003DD0,C0,3AD0,80003F30,C0,3B30,80003F90,C0,3AD0,80003F30,C0,3AF0,80003F50,C0,35A0,80003A00,C0,35A0,80003A00,C0,35A0,80003A00,C0,35A0,80003A00,C0,35A0,80003A00,C0,,,,,,,35A0,80003A00,C0,4BE0,80005040,c0,35A0,80003A00,C0,7430,80007880,C0,,,
getmemsize,,,3A30,80003E90,120,3A30,80003E90,120,3A30,80003E90,120,3B90,80003FF0,120,3BF0,80004050,120,3B90,80003FF0,120,3BB0,80004010,120,3660,80003AC0,120,3660,80003AC0,120,3660,80003AC0,120,3660,80003AC0,120,3660,80003AC0,120,,,,,,,3660,80003AC0,120,4CA0,80005100,120,3660,80003AC0,120,,,,,,
seteventmesg,,,3B50,80003FB0,C0,3B50,80003FB0,C0,3B50,80003FB0,C0,3CB0,80004110,C0,3D10,80004170,C0,3CB0,80004110,C0,3CD0,80004130,C0,3780,80003BE0,C0,3780,80003BE0,C0,3780,80003BE0,C0,3780,80003BE0,C0,3780,80003BE0,C0,,,,,,,3780,80003BE0,C0,4DC0,80005220,c0,3780,80003BE0,C0,,,,,,
xprintf,,In code on retail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,4E80,800052e0,ce0,-,-,-,,,,,,
unmaptlball,,,3C10,80004070,50,3C10,80004070,50,3C10,80004070,50,3D70,800041D0,50,3DD0,80004230,50,3D70,800041D0,50,3D90,800041F0,50,3840,80003CA0,50,3840,80003CA0,50,3840,80003CA0,50,3840,80003CA0,50,3840,80003CA0,50,,,,,,,3840,80003CA0,,5B60,80005fc0,50,3840,80003CA0,,7550,800079A0,50,,,
epidma,,,3C60,800040C0,E0,3C60,800040C0,E0,3C60,800040C0,E0,3DC0,80004220,E0,3E20,80004280,E0,3DC0,80004220,E0,3DE0,80004240,E0,3890,80003CF0,A0,3890,80003CF0,A0,3890,80003CF0,A0,3890,80003CF0,A0,3890,80003CF0,A0,,,,,,,,,,5BB0,80006010,a0,,,,,,,,,
string,,In code on retail,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,-,-,-,5C50,800060b0,a0,-,-,-,,,,,,
invalicache,,,3D40,800041A0,80,3D40,800041A0,80,3D40,800041A0,80,3EA0,80004300,80,3F00,80004360,80,3EA0,80004300,80,3EC0,80004320,80,3930,80003D90,80,3930,80003D90,80,3930,80003D90,80,3930,80003D90,80,3930,80003D90,80,,,,,,,3930,80003D90,80,5CF0,80006150,80,3930,80003D90,80,,,,,,
createmesgqueue,,,3DC0,80004220,30,3DC0,80004220,30,3DC0,80004220,30,3F20,80004380,30,3F80,800043E0,30,3F20,80004380,30,3F40,800043A0,30,39B0,80003E10,30,39B0,80003E10,30,39B0,80003E10,30,39B0,80003E10,30,39B0,80003E10,30,,,,,,,39B0,80003E10,30,5D70,800061d0,30,39B0,80003E10,30,,,,,,
invaldcache,,,3DF0,80004250,B0,3DF0,80004250,B0,3DF0,80004250,B0,3F50,800043B0,B0,3FB0,80004410,B0,3F50,800043B0,B0,3F70,800043D0,B0,39E0,80003E40,B0,39E0,80003E40,B0,39E0,80003E40,B0,39E0,80003E40,B0,39E0,80003E40,B0,,,,,,,39E0,80003E40,B0,5DA0,80006200,b0,39E0,80003E40,B0,,,,,,
si,,Changed I-L,3EA0,80004300,30,3EA0,80004300,30,3EA0,80004300,30,4000,80004460,30,4060,800044C0,30,4000,80004460,30,4020,80004480,30,3A90,80003EF0,30,3A90,80003EF0,30,3A90,80003EF0,30,3A90,80003EF0,30,3A90,80003EF0,30,,,,,,,3A90,80003EF0,30,5E50,800062b0,30,3A90,80003EF0,30,,,,,,
jammesg,,,3ED0,80004330,150,3ED0,80004330,150,3ED0,80004330,150,4030,80004490,150,4090,800044F0,150,4030,80004490,150,4050,800044B0,150,3AC0,80003F20,150,3AC0,80003F20,150,3AC0,80003F20,150,3AC0,80003F20,150,3AC0,80003F20,150,,,,,,,3AC0,80003F20,150,5E80,800062e0,150,3AC0,80003F20,150,,,,,,
setthreadpri,,,4020,80004480,E0,4020,80004480,E0,4020,80004480,E0,4180,800045E0,E0,41E0,80004640,E0,4180,800045E0,E0,41A0,80004600,E0,3C10,80004070,E0,3C10,80004070,E0,3C10,80004070,E0,3C10,80004070,E0,3C10,80004070,E0,,,,,,,3C10,80004070,E0,5FD0,80006430,e0,3C10,80004070,E0,,,,,,
getthreadpri,,,4100,80004560,20,4100,80004560,20,4100,80004560,20,4260,800046C0,20,42C0,80004720,20,4260,800046C0,20,4280,800046E0,20,3CF0,80004150,20,3CF0,80004150,20,3CF0,80004150,20,3CF0,80004150,20,3CF0,80004150,20,,,,,,,3CF0,80004150,20,60B0,80006510,20,3CF0,80004150,20,,,,,,
epirawread,,,4120,80004580,160,4120,80004580,160,4120,80004580,160,4280,800046E0,160,42E0,80004740,160,4280,800046E0,160,42A0,80004700,160,3D10,80004170,160,3D10,80004170,160,3D10,80004170,160,3D10,80004170,160,3D10,80004170,160,,,,,,,3D10,80004170,160,60D0,80006530,160,3D10,80004170,160,,,,,,
viswapbuf,,,-,-,-,-,-,-,-,-,-,43E0,80004840,50,4440,800048A0,50,43E0,80004840,50,4400,80004860,50,3E70,800042D0,50,3E70,800042D0,50,3E70,800042D0,50,3E70,800042D0,50,3E70,800042D0,50,,,,,,,3E70,800042D0,50,6230,80006690,50,3E70,800042D0,50,,,,,,
epirawdma,,,4280,800046E0,1E0,4280,800046E0,1E0,4280,800046E0,1E0,4430,80004890,1E0,4490,800048F0,1E0,4430,80004890,1E0,4450,800048B0,1E0,3EC0,80004320,1E0,3EC0,80004320,1E0,3EC0,80004320,1E0,3EC0,80004320,1E0,3EC0,80004320,1E0,,,,,,,3EC0,80004320,1E0,6280,800066e0,1e0,3EC0,80004320,1E0,,,,,,
bcmp,GC only,Handwritten,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4630,80004A90,120,40A0,80004500,120,40A0,80004500,120,40A0,80004500,120,40A0,80004500,120,40A0,80004500,120,6460,,,6460,,,40A0,80004500,120,6460,800068c0,120,40A0,80004500,120,,,,,,
gettime,,,4460,800048C0,90,4460,800048C0,90,4460,800048C0,90,4610,80004A70,90,4670,80004AD0,90,4610,80004A70,90,4750,80004BB0,90,41C0,80004620,90,41C0,80004620,90,41C0,80004620,90,41C0,80004620,90,41C0,80004620,90,,,,,,,41C0,80004620,90,6580,800069e0,90,41C0,80004620,90,,,,,,
timerintr,,,44F0,80004950,400,44F0,80004950,400,44F0,80004950,400,46A0,80004B00,400,4700,80004B60,400,46A0,80004B00,400,47E0,80004C40,400,4250,800046B0,430,4250,800046B0,430,4250,800046B0,430,4250,800046B0,430,4250,800046B0,430,,,,,,,4250,800046B0,430,6610,80006a70,430,4250,800046B0,430,,,,,,
getcount,,,48F0,80004D50,10,48F0,80004D50,10,48F0,80004D50,10,4AA0,80004F00,10,4B00,80004F60,10,4AA0,80004F00,10,4BE0,80005040,10,4680,80004AE0,10,4680,80004AE0,10,4680,80004AE0,10,4680,80004AE0,10,4680,80004AE0,10,,,,,,,4680,80004AE0,10,6A40,80006ea0,10,4680,80004AE0,10,,,,,,
setglobalintmask,,,4900,80004D60,50,4900,80004D60,50,4900,80004D60,50,4AB0,80004F10,50,4B10,80004F70,50,4AB0,80004F10,50,4BF0,80005050,50,4690,80004AF0,50,4690,80004AF0,50,4690,80004AF0,50,4690,80004AF0,50,4690,80004AF0,50,,,,,,,4690,80004AF0,50,6A50,80006eb0,50,4690,80004AF0,50,,,,,,
setcompare,,,4950,80004DB0,10,4950,80004DB0,10,4950,80004DB0,10,4B00,80004F60,10,4B60,80004FC0,10,4B00,80004F60,10,4C40,800050A0,10,46E0,80004B40,10,46E0,80004B40,10,46E0,80004B40,10,46E0,80004B40,10,46E0,80004B40,10,,,,,,,46E0,80004B40,10,6AA0,80006f00,10,46E0,80004B40,10,,,,,,
bcopy,,,4960,80004DC0,310,4960,80004DC0,310,4960,80004DC0,310,4B10,80004F70,310,4B70,80004FD0,310,4B10,80004F70,310,4C50,800050B0,310,46F0,80004B50,310,46F0,80004B50,310,46F0,80004B50,310,46F0,80004B50,310,46F0,80004B50,310,,,,,,,46F0,80004B50,310,6AB0,80006f10,310,46F0,80004B50,310,,,,,,
resetglobalintmask,,,4C70,800050D0,60,4C70,800050D0,60,4C70,800050D0,60,4E20,80005280,60,4E80,800052E0,60,4E20,80005280,60,4F60,800053C0,60,4A00,80004E60,60,4A00,80004E60,60,4A00,80004E60,60,4A00,80004E60,60,4A00,80004E60,60,,,,,,,4A00,80004E60,60,6DC0,80007220,60,4A00,80004E60,60,,,,,,
interrupt,,,4CD0,80005130,90,4CD0,80005130,90,4CD0,80005130,90,4E80,800052E0,90,4EE0,80005340,90,4E80,800052E0,90,4FC0,80005420,90,4A60,80004EC0,90,4A60,80004EC0,90,4A60,80004EC0,90,4A60,80004EC0,90,4A60,80004EC0,90,,,,,,,4A60,80004EC0,90,6E20,80007280,70,4A60,80004EC0,90,53B0,80005800,70,,,
osViModeNtscLan1,,"No text, only data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6EB0,80007310,0,,,,,,,,,
osViModeMpalLan1,,"No text, only data",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6EB0,80007310,0,,,,,,,,,
