,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpm,,,cjc,,,cpod1,,,cpod2,,,cpmd,,,iqs,,,iqt,,,
File,Other versions,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
z_common_data,gcc,NTSC is originally larger: it contains language-setting code until usa_gc. iQue also has this.,409D0,80051A70,B0,040A00,80051AA0,B0,040A00,80051AA0,B0,040A30,80052110,80,40A50,80052130,B0,40A30,80052110,80,40A50,80052230,B0,0407D0,800516B0,B0,407D0,800516B0,B0,407D0,800516B0,90,0407D0,800516B0,90,407B0,800516B0,80,407B0,800516B0,80,407D0,800516B0,90,0467E0,80063640,80,0467E0,80063640,80,467E0,80063640,80,03F5C0,80058560,B0,3F770,800581B0,B0,
z_debug,,,40A80,80051B20,310,40AB0,80051B50,310,40AB0,80051B50,310,40AB0,80052190,310,40B00,800521E0,310,40AB0,80052190,310,40B00,800522E0,310,40880,80051760,310,40880,80051760,310,40860,80051740,310,40860,80051740,310,40830,80051730,310,40830,80051730,310,40860,80051740,310,046860,800636C0,7D0,046860,800636C0,7D0,46860,800636C0,7D0,3F670,80058610,310,3F820,80058260,310,
z_debug_display,,,40D90,80051E30,4B0,040DC0,80051E60,4B0,040DC0,80051E60,4B0,40DC0,800524A0,4B0,40E10,800524F0,4B0,40DC0,800524A0,4B0,40E10,800525F0,4B0,40B90,80051A70,4C0,40B90,80051A70,4C0,40B70,80051A50,4C0,40B70,80051A50,4C0,40B40,80051A40,4C0,40B40,80051A40,4C0,40B70,80051A50,4C0,047030,80063E90,560,047030,80063E90,560,47030,80063E90,560,3F980,80058920,4C0,3FB30,80058570,4C0,
z_demo,,,41240,800522E0,4D20,41270,80052310,4D20,41270,80052310,4D20,41270,80052950,4D20,412C0,800529A0,4D20,41270,80052950,4D20,412C0,80052AA0,4D20,41050,80051F30,4CE0,41050,80051F30,4CE0,41030,80051F10,4CE0,41030,80051F10,4CE0,41000,80051F00,4CE0,41000,80051F00,4CE0,41030,80051F10,4CE0,047590,800643F0,5030,047590,800643F0,5030,47590,800643F0,5030,3FE40,80058DE0,4CE0,3FFF0,80058A30,4CE0,
code_80069420,,,45F60,80057000,90,45F90,80057030,90,45F90,80057030,90,45F90,80057670,90,45FE0,800576C0,90,45F90,80057670,90,45FE0,800577C0,90,45D30,80056C10,90,45D30,80056C10,90,45D10,80056BF0,90,45D10,80056BF0,90,45CE0,80056BE0,90,45CE0,80056BE0,90,45D10,80056BF0,90,04C5C0,80069420,80,04C5C0,80069420,80,4C5C0,80069420,80,44B20,8005DAC0,90,44CD0,8005D710,90,
z_draw,,,45FF0,80057090,1E60,46020,800570C0,1E60,46020,800570C0,1E60,46020,80057700,1E60,46070,80057750,1E60,46020,80057700,1E60,46070,80057850,1E60,45DC0,80056CA0,1F00,45DC0,80056CA0,1F00,45DA0,80056C80,1F00,45DA0,80056C80,1F00,45D70,80056C70,1F00,45D70,80056C70,1F00,45DA0,80056C80,1F00,04C640,800694A0,2560,04C640,800694A0,2560,4C640,800694A0,2560,44BB0,8005DB50,1F00,44D60,8005D7A0,1F00,
z_sfx_source,,,47E50,80058EF0,1C0,047E80,80058F20,1C0,047E80,80058F20,1C0,47E80,80059560,1C0,47ED0,800595B0,1C0,47E80,80059560,1C0,47ED0,800596B0,1C0,47CC0,80058BA0,1C0,47CC0,80058BA0,1C0,47CA0,80058B80,1C0,47CA0,80058B80,1C0,47C70,80058B70,1C0,47C70,80058B70,1C0,47CA0,80058B80,1C0,04EBA0,8006BA00,1C0,04EBA0,8006BA00,1C0,4EBA0,8006BA00,1C0,46AB0,8005FA50,1C0,46C60,8005F6A0,1C0,
z_elf_message,,,48010,800590B0,6E0,048040,800590E0,6E0,048040,800590E0,6E0,48040,80059720,6E0,48090,80059770,6E0,48040,80059720,6E0,48090,80059870,6E0,47E80,80058D60,6E0,47E80,80058D60,6E0,47E60,80058D40,6E0,47E60,80058D40,6E0,47E30,80058D30,6E0,47E30,80058D30,6E0,47E60,80058D40,6E0,04ED60,8006BBC0,7A0,04ED60,8006BBC0,7A0,4ED60,8006BBC0,7A0,46C70,8005FC10,6E0,46E20,8005F860,6E0,
z_face_reaction,,,486F0,80059790,50,048720,800597C0,50,048720,800597C0,50,048720,80059E00,50,48770,80059E50,50,48720,80059E00,50,48770,80059F50,50,048560,80059440,50,48560,80059440,50,48540,80059420,50,048540,80059420,50,48510,80059410,50,48510,80059410,50,48540,80059420,50,04F500,8006C360,40,04F500,8006C360,40,4F500,8006C360,40,047350,800602F0,50,47500,8005FF40,50,
code_8006C3A0,,z_env_flags?,48740,800597E0,180,048770,80059810,180,048770,80059810,180,48770,80059E50,180,487C0,80059EA0,180,48770,80059E50,180,487C0,80059FA0,180,485B0,80059490,180,485B0,80059490,180,48590,80059470,180,48590,80059470,180,48560,80059460,180,48560,80059460,180,48590,80059470,180,04F540,8006C3A0,170,04F540,8006C3A0,170,4F540,8006C3A0,170,473A0,80060340,180,47550,8005FF90,180,
z_fcurve_data,,,488C0,80059960,240,0488F0,80059990,240,0488F0,80059990,240,488F0,80059FD0,240,48940,8005A020,240,488F0,80059FD0,240,48940,8005A120,240,48730,80059610,240,48730,80059610,240,48710,800595F0,240,48710,800595F0,240,486E0,800595E0,240,486E0,800595E0,240,48710,800595F0,240,04F6B0,8006C510,240,04F6B0,8006C510,240,4F6B0,8006C510,240,47520,800604C0,240,476D0,80060110,240,
