,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpm,,,cjc,,,cpod1,,,cpod2,,,cpmd,,,iqs,,,iqt,,,
File,Other versions,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
graph,,,8FF40,800A0FE0,970,090090,800A1130,970,900A0,800A1140,970,90160,800A1840,9A0,90100,800A17E0,9A0,901A0,800A1880,9A0,90190,800A1970,A90,8FC50,800A0B30,9A0,8FC30,800A0B10,9A0,8FC30,800A0B10,9A0,8FC10,800A0AF0,9A0,8FCE0,800A0BE0,9A0,08FCC0,800A0BC0,9A0,8FC30,800A0B10,9A0,A8A10,800C5870,1420,A8A10,800C5870,1420,A89F0,800C5850,1420,8E0F0,800A7090,9A0,8E2A0,800A6CE0,9A0,
gfxalloc,,"currently last 3 functions in graph, but must be a new file",908B0,800A1950,60,90A00,800A1AA0,60,90A10,800A1AB0,60,90B00,800A21E0,60,90AA0,800A2180,60,90B40,800A2220,60,90C20,800A2400,60,905F0,800A14D0,60,905D0,800A14B0,60,905D0,800A14B0,60,905B0,800A1490,60,90680,800A1580,60,090660,800A1560,60,905D0,800A14B0,60,,,,,,,,,,8EA90,800A7A30,60,8EC40,800A7680,60,
listalloc,,,90910,800A19B0,150,90A60,800A1B00,150,90A70,800A1B10,150,90B60,800A2240,150,90B00,800A21E0,150,90BA0,800A2280,150,90C80,800A2460,150,90650,800A1530,150,90630,800A1510,150,90630,800A1510,150,90610,800A14F0,150,906E0,800A15E0,150,0906C0,800A15C0,150,90630,800A1510,150,A9E30,800C6C90,160,A9E30,800C6C90,160,A9E10,800C6C70,160,8EAF0,800A7A90,150,8ECA0,800A76E0,150,
main,,Main_LogSystemHeap gone in retail,90A60,800A1B00,3B0,090BB0,800A1C50,3B0,90BC0,800A1C60,3B0,90CB0,800A2390,3B0,90C50,800A2330,3B0,90CF0,800A23D0,3B0,90DD0,800A25B0,3B0,907A0,800A1680,360,90780,800A1660,360,90780,800A1660,360,090760,800A1640,360,90830,800A1730,360,090810,800A1710,360,90780,800A1660,360,A9F90,800C6DF0,480,A9F90,800C6DF0,480,A9F70,800C6DD0,480,8EC40,800A7BE0,360,8EDF0,800A7830,360,
padmgr,,,90E10,800A1EB0,,090F60,800A2000,B10,90F70,800A2010,B10,91060,800A2740,B10,91000,800A26E0,B10,910A0,800A2780,B10,91180,800A2960,7B0,90B00,800A19E0,B00,90AE0,800A19C0,B00,90AE0,800A19C0,B00,90AC0,800A19A0,B00,90B90,800A1A90,B00,090B70,800A1A70,B00,90AE0,800A19C0,B00,AA410,800C7270,1050,AA410,800C7270,1050,AA3F0,800C7250,1050,8EFA0,800A7F40,B00,8F150,800A7B90,B10,
[PADDING],,,-,-,-,91A70,800A2B10,10,-,-,-,91B70,800A3250,10,91B10,800A31F0,10,91BB0,800A3290,10,91930,800A3110,10,-,-,-,-,-,-,-,-,-,-,-,-,91690,800A2590,10,091670,800A2570,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
sched,,,91920,800A29C0,D90,091A80,800A2B20,D90,91A80,800A2B20,D90,91B80,800A3260,C80,91B20,800A3200,C80,91BC0,800A32A0,C80,91940,800A3120,C80,91600,800A24E0,C80,915E0,800A24C0,C80,915E0,800A24C0,C80,0915C0,800A24A0,C80,916A0,800A25A0,C80,091680,800A2580,C80,915E0,800A24C0,C80,AB460,800C82C0,16A0,AB460,800C82C0,16A0,AB440,800C82A0,16A0,8FAA0,800A8A40,C80,8FC60,800A86A0,C80,
speed_meter,,,926B0,800A3750,A40,092810,800A38B0,A40,92810,800A38B0,A40,92800,800A3EE0,A40,927A0,800A3E80,A40,92840,800A3F20,A40,925C0,800A3DA0,A40,92280,800A3160,A40,92260,800A3140,A40,92260,800A3140,A40,92240,800A3120,A40,92320,800A3220,A40,092300,800A3200,A40,92260,800A3140,A40,ACB00,800C9960,A60,ACB00,800C9960,A60,ACAE0,800C9940,A60,90720,800A96C0,A40,908E0,800A9320,A40,
sys_cfb,,,930F0,800A4190,120,93250,800A42F0,120,93250,800A42F0,120,93240,800A4920,120,931E0,800A48C0,120,93280,800A4960,120,93000,800A47E0,120,92CC0,800A3BA0,120,92CA0,800A3B80,120,92CA0,800A3B80,120,92C80,800A3B60,120,92D60,800A3C60,120,092D40,800A3C40,120,92CA0,800A3B80,120,AD560,800CA3C0,1A0,AD560,800CA3C0,1A0,AD540,800CA3A0,1A0,91160,800AA100,120,91320,800A9D60,120,
sys_math,,,93210,800A42B0,2A0,93370,800A4410,2A0,93370,800A4410,2A0,93360,800A4A40,2A0,93300,800A49E0,2A0,933A0,800A4A80,2A0,93120,800A4900,2A0,92DE0,800A3CC0,2A0,92DC0,800A3CA0,2A0,92DC0,800A3CA0,2A0,092DA0,800A3C80,2A0,92E80,800A3D80,2A0,092E60,800A3D60,2A0,92DC0,800A3CA0,2A0,AD700,800CA560,290,AD700,800CA560,290,AD6E0,800CA540,290,91280,800AA220,2A0,91440,800A9E80,2A0,
sys_math3d,,,934B0,800A4550,5DD0,93610,800A46B0,5DD0,93610,800A46B0,5DD0,93600,800A4CE0,5DD0,935A0,800A4C80,5DD0,93640,800A4D20,5DD0,933C0,800A4BA0,5DD0,93080,800A3F60,5DD0,93060,800A3F40,5DD0,93060,800A3F40,5DD0,93040,800A3F20,5DD0,93120,800A4020,5DD0,093100,800A4000,5DD0,93060,800A3F40,5DD0,AD990,800CA7F0,5E20,AD990,800CA7F0,5E20,AD970,800CA7D0,5E20,91520,800AA4C0,5DD0,916E0,800AA120,5DD0,
sys_math_atan,,,99280,800AA320,230,0993E0,800AA480,230,0993E0,800AA480,230,993D0,800AAAB0,230,99370,800AAA50,230,99410,800AAAF0,230,99190,800AA970,230,98E50,800A9D30,230,98E30,800A9D10,230,98E30,800A9D10,230,098E10,800A9CF0,230,98EF0,800A9DF0,230,098ED0,800A9DD0,230,98E30,800A9D10,230,B37B0,800D0610,220,B37B0,800D0610,220,B3790,800D05F0,220,0972F0,800B0290,230,974B0,800AFEF0,230,
sys_matrix,,,994B0,800AA550,2400,099610,800AA6B0,2400,099610,800AA6B0,2400,99600,800AACE0,2400,995A0,800AAC80,2400,99640,800AAD20,2400,993C0,800AABA0,2400,99080,800A9F60,2400,99060,800A9F40,2400,99060,800A9F40,2400,099040,800A9F20,2400,99120,800AA020,2400,099100,800AA000,2400,99060,800A9F40,2400,B39D0,800D0830,25E0,B39D0,800D0830,25E0,B39B0,800D0810,25E0,097520,800B04C0,2400,976E0,800B0120,2400,
sys_ucode,,,9B8B0,800AC950,50,09BA10,800ACAB0,50,9BA10,800ACAB0,50,9BA00,800AD0E0,50,9B9A0,800AD080,50,9BA40,800AD120,50,9B7C0,800ACFA0,50,9B480,800AC360,50,9B460,800AC340,50,9B460,800AC340,50,9B440,800AC320,50,9B520,800AC420,50,09B500,800AC400,50,9B460,800AC340,50,B5FB0,800D2E10,40,B5FB0,800D2E10,40,B5F90,800D2DF0,40,99920,800B28C0,50,99AE0,800B2520,50,
sys_rumble,,,9B900,800AC9A0,360,09BA60,800ACB00,360,9BA60,800ACB00,360,9BA50,800AD130,360,9B9F0,800AD0D0,360,9BA90,800AD170,360,9B810,800ACFF0,360,9B4D0,800AC3B0,360,9B4B0,800AC390,360,9B4B0,800AC390,360,9B490,800AC370,360,9B570,800AC470,360,09B550,800AC450,360,9B4B0,800AC390,360,B5FF0,800D2E50,370,B5FF0,800D2E50,370,B5FD0,800D2E30,370,99970,800B2910,360,99B30,800B2570,360,
code_800D31A0,,,9BC60,800ACD00,30,9BDC0,800ACE60,30,9BDC0,800ACE60,30,9BDB0,800AD490,30,9BD50,800AD430,30,9BDF0,800AD4D0,30,9BB70,800AD350,30,9B830,800AC710,30,9B810,800AC6F0,30,9B810,800AC6F0,30,9B7F0,800AC6D0,30,9B8D0,800AC7D0,30,09B8B0,800AC7B0,30,9B810,800AC6F0,30,B6360,800D31C0,80,B6360,800D31C0,80,B6340,800D31A0,80,99CD0,800B2C70,30,99E90,800B28D0,30,
irqmgr,,,9BC90,800ACD30,500,9BDF0,800ACE90,580,9BDF0,800ACE90,580,9BDE0,800AD4C0,620,9BD80,800AD460,620,9BE20,800AD500,620,9BBA0,800AD380,620,9B860,800AC740,620,9B840,800AC720,620,9B840,800AC720,620,9B820,800AC700,620,9B900,800AC800,620,09B8E0,800AC7E0,620,9B840,800AC720,620,B63E0,800D3240,870,B63E0,800D3240,870,B63C0,800D3220,870,99D00,800B2CA0,620,99EC0,800B2900,620,
loadN64dd,,Named by us,9C190,800AD230,B0,9C370,800AD410,B0,9C370,800AD410,B0,9C400,800ADAE0,B0,9C3A0,800ADA80,B0,9C440,800ADB20,B0,9C1C0,800AD9A0,B0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
code_n64dd_800AD4C0,,New to n64dd,9C240,800AD2E0,F0,9C420,800AD4C0,F0,9C420,800AD4C0,F0,9C4B0,800ADB90,F0,9C450,800ADB30,F0,9C4F0,800ADBD0,F0,9C270,800ADA50,F0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
debug_malloc,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,B6C50,800D3AB0,490,B6C50,800D3AB0,490,B6C30,800D3A90,490,-,-,-,-,-,-,
[PADDING],,,9C330,800AD3D0,10,9C510,800AD5B0,10,9C510,800AD5B0,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
fault,,trapuv,9C340,800AD3E0,21D0,9C520,800AD5C0,21D0,9C520,800AD5C0,21D0,9C5A0,800ADC80,21D0,9C540,800ADC20,21D0,9C5E0,800ADCC0,21D0,9C360,800ADB40,21D0,9BE80,800ACD60,2850,9BE60,800ACD40,2850,9BE60,800ACD40,2850,9BE40,800ACD20,2850,9BF20,800ACE20,2850,09BF00,800ACE00,2850,9BE60,800ACD40,2850,B70E0,800D3F40,2850,B70E0,800D3F40,2850,B70C0,800D3F20,2850,9A320,800B32C0,2850,9A4E0,800B2F20,2850,
fault_drawer,,GC/iQue-only,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9E6D0,800AF5B0,A80,9E6B0,800AF590,A80,9E6B0,800AF590,A80,9E690,800AF570,A80,9E770,800AF670,A80,09E750,800AF650,A80,9E6B0,800AF590,A80,B9930,800D6790,A80,B9930,800D6790,A80,B9910,800D6770,A80,9CB70,800B5B10,A80,9CD30,800B5770,A80,
kanread,,Handwritten (kanji offset lookup),09E510,800AF5B0,AE0,09E6F0,800AF790,AE0,09E6F0,800AF790,AE0,09E770,800AFE50,AE0,09E710,800AFDF0,AE0,09E7B0,800AFE90,AE0,9E530,800AFD10,AE0,09F150,800B0030,AE0,9F130,800B0010,AE0,9F130,800B0010,AE0,09F110,800AFFF0,AE0,9F1F0,800B00F0,AE0,09F1D0,800B00D0,AE0,9F130,800B0010,AE0,0BA3B0,800D7210,AE0,0BA3B0,800D7210,AE0,BA390,800D71F0,AE0,09D5F0,800B6590,AE0,9D7B0,800B61F0,AE0,
ucode_disas,,0x10 Padding after,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-,-,-,-,-,BAE90,800D7CF0,2FF0,BAE90,800D7CF0,2FF0,BAE70,800D7CD0,2FF0,-,-,-,,-,-,
[PADDING],,,9EFF0,800B0090,10,9F1D0,800B0270,10,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,9FC30,800B0B10,10,9FC10,800B0AF0,10,9FC10,800B0AF0,10,9FBF0,800B0AD0,10,9FCD0,800B0BD0,10,9FCB0,800B0BB0,10,9FC10,800B0AF0,10,-,-,-,-,-,-,,,,9E0D0,800B7070,10,9E290,800B6CD0,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audio_lib_synthesis,,Just pointers,9F000,800B00A0,3160,9F1E0,800B0280,3160,9F1D0,800B0270,3190,9F250,800B0930,3190,9F1F0,800B08D0,3190,9F290,800B0970,3190,9F010,800B07F0,3190,9FC40,800B0B20,3160,9FC20,800B0B00,3160,9FC20,800B0B00,3160,09FC00,800B0AE0,3160,9FCE0,800B0BE0,3160,09FCC0,800B0BC0,3160,9FC20,800B0B00,3160,BDE80,800DACE0,3160,BDE80,800DACE0,3160,BDE60,800DACC0,3160,9E0E0,800B7080,3160,9E2A0,800B6CE0,3160,
audio_lib_heap,,Just pointers,A2160,800B3200,33D0,A2340,800B33E0,33D0,A2360,800B3400,33D0,A23E0,800B3AC0,33D0,A2380,800B3A60,33D0,A2420,800B3B00,33D0,A21A0,800B3980,33D0,A2DA0,800B3C80,33D0,A2D80,800B3C60,33D0,A2D80,800B3C60,33D0,A2D60,800B3C40,33D0,A2E40,800B3D40,33D0,0A2E20,800B3D20,33D0,A2D80,800B3C60,33D0,C0FE0,800DDE40,33D0,C0FE0,800DDE40,33D0,C0FC0,800DDE20,33D0,A1240,800BA1E0,33D0,A1400,800B9E40,33D0,
audio_lib_load,,func_800B8654_ne0/func_800B8D74_np1 has shrunk,A5530,800B65D0,3DF0,A5710,800B67B0,3DF0,A5730,800B67D0,3DF0,A57B0,800B6E90,3D90,A5750,800B6E30,3DF0,A57F0,800B6ED0,3D90,A5570,800B6D50,3DF0,A6170,800B7050,3DF0,A6150,800B7030,3DF0,A6150,800B7030,3DF0,A6130,800B7010,3DF0,A6210,800B7110,3DF0,A61F0,800B70F0,3DF0,A6150,800B7030,3DF0,C43B0,800E1210,3DF0,C43B0,800E1210,3DF0,C4390,800E11F0,3DF0,A4610,800BD5B0,3DF0,A47D0,800BD210,3DF0,
audio_lib_thread,,,A9320,800BA3C0,1860,A9500,800BA5A0,1860,A9520,800BA5C0,1860,A9540,800BAC20,1860,A9540,800BAC20,1860,A9580,800BAC60,1860,A9360,800BAB40,1860,A9F60,800BAE40,1860,A9F40,800BAE20,1860,A9F40,800BAE20,1860,A9F20,800BAE00,1860,AA000,800BAF00,1860,A9FE0,800BAEE0,1860,A9F40,800BAE20,1860,C81A0,800E5000,1860,C81A0,800E5000,1860,C8180,800E4FE0,1860,A8400,800C13A0,1860,A85C0,800C1000,1860,
audio_lib_dcache,,,AAB80,800BBC20,80,AAD60,800BBE00,80,AAD80,800BBE20,80,AADA0,800BC480,80,AADA0,800BC480,80,AADE0,800BC4C0,80,AABC0,800BC3A0,80,AB7C0,800BC6A0,80,AB7A0,800BC680,80,AB7A0,800BC680,80,AB780,800BC660,80,AB860,800BC760,80,0AB840,800BC740,80,AB7A0,800BC680,80,C9A00,800E6860,80,C9A00,800E6860,80,C99E0,800E6840,80,A9C60,800C2C00,80,A9E20,800C2860,80,
audio_lib_aisetnextbuf,,,AAC00,800BBCA0,80,AADE0,800BBE80,80,AAE00,800BBEA0,80,AAE20,800BC500,80,AAE20,800BC500,80,AAE60,800BC540,80,AAC40,800BC420,80,AB840,800BC720,80,AB820,800BC700,80,AB820,800BC700,80,AB800,800BC6E0,80,AB8E0,800BC7E0,80,0AB8C0,800BC7C0,80,AB820,800BC700,80,C9A80,800E68E0,80,C9A80,800E68E0,80,C9A60,800E68C0,80,A9CE0,800C2C80,80,A9EA0,800C28E0,80,
[PADDING],,,-,-,-,-,-,-,-,-,-,AAEA0,800BC580,30,-,-,-,AAEE0,800BC5C0,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
audio_lib_playback,,,AAC80,800BBD20,1F80,AAE60,800BBF00,1F80,AAE80,800BBF20,1F80,AAED0,800BC5B0,1F80,AAEA0,800BC580,1F80,AAF10,800BC5F0,1F80,AACC0,800BC4A0,1F80,AB8C0,800BC7A0,1F80,AB8A0,800BC780,1F80,AB8A0,800BC780,1F80,AB880,800BC760,1F80,AB960,800BC860,1F80,0AB940,800BC840,1F80,AB8A0,800BC780,1F80,C9B00,800E6960,1F80,C9B00,800E6960,1F80,C9AE0,800E6940,1F80,A9D60,800C2D00,1F80,A9F20,800C2960,1F80,
audio_lib_effects,,,ACC00,800BDCA0,A80,ACDE0,800BDE80,A80,ACE00,800BDEA0,A80,ACE50,800BE530,A80,ACE20,800BE500,A80,ACE90,800BE570,A80,ACC40,800BE420,A80,AD840,800BE720,A80,AD820,800BE700,A80,AD820,800BE700,A80,AD800,800BE6E0,A80,AD8E0,800BE7E0,A80,0AD8C0,800BE7C0,A80,AD820,800BE700,A80,CBA80,800E88E0,A80,CBA80,800E88E0,A80,CBA60,800E88C0,A80,ABCE0,800C4C80,A80,ABEA0,800C48E0,A80,
audio_lib_seqplayer,,,AD680,800BE720,3620,AD860,800BE900,3620,AD880,800BE920,3650,AD8D0,800BEFB0,3650,AD8A0,800BEF80,3650,AD910,800BEFF0,3650,AD6C0,800BEEA0,3650,AE2C0,800BF1A0,3620,AE2A0,800BF180,3620,AE2A0,800BF180,3620,AE280,800BF160,3620,AE360,800BF260,3620,0AE340,800BF240,3620,AE2A0,800BF180,3620,CC500,800E9360,3620,CC500,800E9360,3620,CC4E0,800E9340,3620,AC760,800C5700,3620,AC920,800C5360,3620,
audio_general,,,B0CA0,800C1D40,5FF0,B0E80,800C1F20,6020,B0ED0,800C1F70,61A0,B0F20,800C2600,61C0,B0EF0,800C25D0,61C0,B0F60,800C2640,61C0,B0D10,800C24F0,61C0,B18E0,800C27C0,6190,B18C0,800C27A0,6190,B18C0,800C27A0,6190,B18A0,800C2780,6190,B1980,800C2880,6190,0B1960,800C2860,6190,B18C0,800C27A0,6190,CFB20,800EC980,A900,CFB20,800EC980,A900,CFB00,800EC960,A900,AFD80,800C8D20,6190,AFF40,800C8980,6190,
audio_sfx,,,B6C90,800C7D30,1E60,B6EA0,800C7F40,1E60,B7070,800C8110,1E50,B70E0,800C87C0,1E50,B70B0,800C8790,1E50,B7120,800C8800,1E50,B6ED0,800C86B0,1E50,B7A70,800C8950,1E60,B7A50,800C8930,1E60,B7A50,800C8930,1E60,B7A30,800C8910,1E60,B7B10,800C8A10,1E60,0B7AF0,800C89F0,1E60,B7A50,800C8930,1E60,DA420,800F7280,2020,DA420,800F7280,2020,DA400,800F7260,2020,B5F10,800CEEB0,1E60,B60D0,800CEB10,1E60,
audio_sequence,,,B8AF0,800C9B90,1C20,B8D00,800C9DA0,1C20,B8EC0,800C9F60,1C20,B8F30,800CA610,1C20,B8F00,800CA5E0,1C20,B8F70,800CA650,1C20,B8D20,800CA500,1C20,B98D0,800CA7B0,1C20,B98B0,800CA790,1C20,B98B0,800CA790,1C20,B9890,800CA770,1C20,B9970,800CA870,1C20,0B9950,800CA850,1C20,B98B0,800CA790,1C20,DC440,800F92A0,1CE0,DC440,800F92A0,1CE0,DC420,800F9280,1CE0,B7D70,800D0D10,1C20,B7F30,800D0970,1C20,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gfxprint,,,BA710,800CB7B0,C00,BA920,800CB9C0,C00,BAAE0,800CBB80,C00,BAB50,800CC230,C00,BAB20,800CC200,C00,BAB90,800CC270,C00,BA940,800CC120,C00,BB4F0,800CC3D0,D70,BB4D0,800CC3B0,D70,BB4D0,800CC3B0,D70,0BB4B0,800CC390,D70,BB590,800CC490,D70,0BB570,800CC470,D70,BB4D0,800CC3B0,D70,DE120,800FAF80,D80,DE120,800FAF80,D80,DE100,800FAF60,D80,,,,,,,
rcp_utils,,,BB310,800CC3B0,330,BB520,800CC5C0,330,BB6E0,800CC780,330,BB750,800CCE30,330,BB720,800CCE00,330,BB790,800CCE70,330,BB540,800CCD20,330,BC260,800CD140,60,BC240,800CD120,60,BC240,800CD120,60,0BC220,800CD100,60,BC300,800CD200,60,0BC2E0,800CD1E0,60,BC240,800CD120,60,DEEA0,800FBD00,330,DEEA0,800FBD00,330,DEE80,800FBCE0,330,,,,,,,
loadfragment2,,Has all 3 reloc functions on ne0,BB640,800CC6E0,4B0,BB850,800CC8F0,4B0,BBA10,800CCAB0,4B0,BBA80,800CD160,4B0,BBA50,800CD130,4B0,BBAC0,800CD1A0,4B0,BB870,800CD050,4B0,BC2C0,800CD1A0,60,BC2A0,800CD180,60,BC2A0,800CD180,60,0BC280,800CD160,60,BC360,800CD260,60,0BC340,800CD240,60,BC2A0,800CD180,60,DF1D0,800FC030,B0,DF1D0,800FC030,B0,DF1B0,800FC010,B0,,,,,,,
mtxuty-cvt,,Moved at least,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,DF280,800FC0E0,200,DF280,800FC0E0,200,DF260,800FC0C0,200,,,,,,,
relocation,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BC320,800CD200,240,BC300,800CD1E0,240,BC300,800CD1E0,240,0BC2E0,800CD1C0,240,BC3C0,800CD2C0,240,0BC3A0,800CD2A0,240,BC300,800CD1E0,240,DF480,800FC2E0,360,DF480,800FC2E0,360,DF460,800FC2C0,360,,,,,,,
load,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BC560,800CD440,D0,BC540,800CD420,D0,BC540,800CD420,D0,BC520,800CD400,D0,BC600,800CD500,D0,0BC5E0,800CD4E0,D0,BC540,800CD420,D0,DF7E0,800FC640,1E0,DF7E0,800FC640,1E0,DF7C0,800FC620,1E0,,,,,,,
code_800FC620,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BC630,800CD510,340,BC610,800CD4F0,340,BC610,800CD4F0,340,BC5F0,800CD4D0,340,BC6D0,800CD5D0,340,BC6B0,800CD5B0,340,BC610,800CD4F0,340,DF9C0,800FC820,350,DF9C0,800FC820,350,DF9A0,800FC800,350,,,,,,,
padutils,,,BBAF0,800CCB90,210,BBD00,800CCDA0,210,BBEC0,800CCF60,210,BBF30,800CD610,210,BBF00,800CD5E0,210,BBF70,800CD650,210,BBD20,800CD500,210,BC970,800CD850,1F0,BC950,800CD830,1F0,BC950,800CD830,1F0,BC930,800CD810,1F0,BCA10,800CD910,1F0,0BC9F0,800CD8F0,1F0,BC950,800CD830,1F0,DFD10,800FCB70,1F0,DF9C0,800FC820,1F0,DFCF0,800FCB50,1F0,,,,,,,
code_800FC620,,ne0 has interrupt mask setting,BBD00,800CCDA0,420,BBF10,800CCFB0,420,BC0D0,800CD170,420,BC140,800CD820,420,BC110,800CD7F0,420,BC180,800CD860,420,BBF30,800CD710,420,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
padsetup,,-O2,BC120,800CD1C0,140,BC330,800CD3D0,140,BC4F0,800CD590,140,BC560,800CDC40,140,BC530,800CDC10,140,BC5A0,800CDC80,140,BC350,800CDB30,140,BCB60,800CDA40,140,BCB40,800CDA20,140,BCB40,800CDA20,140,BCB20,800CDA00,140,BCC00,800CDB00,140,0BCBE0,800CDAE0,140,BCB40,800CDA20,140,DFF00,800FCD60,140,DFBB0,800FCA10,140,DFEE0,800FCD40,140,,,,,,,
code_800FCE80,,Maths,BC260,800CD300,3B0,BC470,800CD510,3B0,BC630,800CD6D0,3B0,BC6A0,800CDD80,3B0,BC670,800CDD50,3B0,BC6E0,800CDDC0,3B0,BC490,800CDC70,3B0,BCCA0,800CDB80,510,BCC80,800CDB60,510,BCC80,800CDB60,510,BCC60,800CDB40,510,BCD40,800CDC40,510,0BCD20,800CDC20,510,BCC80,800CDB60,510,E0040,800FCEA0,510,DFCF0,800FCB50,510,E0020,800FCE80,510,,,,,,,
fp,,Handwritten,BC610,800CD6B0,160,BC820,800CD8C0,160,BC9E0,800CDA80,160,BCA50,800CE130,160,BCA20,800CE100,160,BCA90,800CE170,160,BC840,800CE020,160,BD1B0,800CE090,160,BD190,800CE070,160,BD190,800CE070,160,0BD170,800CE050,160,BD250,800CE150,160,0BD230,800CE130,160,BD190,800CE070,160,E0550,800FD3B0,160,E0200,800FD060,160,E0530,800FD390,160,,,,,,,
system_malloc,,,BC770,800CD810,270,BC980,800CDA20,270,BCB40,800CDBE0,270,BCBB0,800CE290,270,BCB80,800CE260,270,BCBF0,800CE2D0,270,BC9A0,800CE180,270,BD310,800CE1F0,1D0,BD2F0,800CE1D0,1D0,BD2F0,800CE1D0,1D0,BD2D0,800CE1B0,1D0,BD3B0,800CE2B0,1D0,0BD390,800CE290,1D0,BD2F0,800CE1D0,1D0,E06B0,800FD510,480,E0360,800FD1C0,480,E0690,800FD4F0,480,,,,,,,
rand,,,BC9E0,800CDA80,100,BCBF0,800CDC90,100,BCDB0,800CDE50,100,BCE20,800CE500,100,BCDF0,800CE4D0,100,BCE60,800CE540,100,BCC10,800CE3F0,100,BD4E0,800CE3C0,1C0,BD4C0,800CE3A0,1C0,BD4C0,800CE3A0,1C0,BD4A0,800CE380,1C0,BD580,800CE480,1C0,0BD560,800CE460,1C0,BD4C0,800CE3A0,1C0,E0B30,800FD990,1C0,E07E0,800FD640,1C0,E0B10,800FD970,1C0,,,,,,,
__osMalloc,,Very different N64/GC,BCAE0,800CDB80,9B0,BCCF0,800CDD90,9B0,BCEB0,800CDF50,9B0,BCF20,800CE600,9B0,BCEF0,800CE5D0,9B0,BCF60,800CE640,9B0,BCD10,800CE4F0,9B0,BD6A0,800CE580,DB0,BD680,800CE560,DB0,BD680,800CE560,DB0,BD660,800CE540,DB0,BD740,800CE640,DB0,0BD720,800CE620,DB0,BD680,800CE560,DB0,E0CF0,800FDB50,1810,E09A0,800FD800,1810,E0CD0,800FDB30,1810,,,,,,,
sprintf,,In boot on debug,BD490,800CE530,D0,BD6A0,800CE740,D0,BD860,800CE900,D0,BD8D0,800CEFB0,D0,BD8A0,800CEF80,D0,BD910,800CEFF0,D0,BD6C0,800CEEA0,D0,BE450,800CF330,D0,BE430,800CF310,D0,BE430,800CF310,D0,BE410,800CF2F0,D0,BE4F0,800CF3F0,D0,0BE4D0,800CF3D0,D0,BE430,800CF310,D0,,,,,,,,,,,,,,,,
printutils,,,BD560,800CE600,60,BD770,800CE810,60,BD930,800CE9D0,60,BD9A0,800CF080,60,BD970,800CF050,60,BD9E0,800CF0C0,60,BD790,800CEF70,60,BE520,800CF400,60,BE500,800CF3E0,60,BE500,800CF3E0,60,BE4E0,800CF3C0,60,BE5C0,800CF4C0,60,0BE5A0,800CF4A0,60,BE500,800CF3E0,60,E2500,800FF360,60,E21B0,800FF010,60,E24E0,800FF340,60,,,,,,,
