Variables,Type,Notes,ner,,ne0,,ne1,,np0,,ne2,,np1,,neg,,cjo,,cjm,,ceo,,cem,,cpo,,cpod1,,cpod2,,cpm,,cpmd,,cjc,,iqs,,iqt,
,,,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size,VRAM,Size
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEO_TempBuffer,,,,,801E5F80,F0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOC2_Syndrome,,,,,801E6070,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEOc2_param,,,,,801E67B0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asic_cur_status,u32,static,,,801E5F70,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit_atten,u32,static,,,801E5F74,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cmd_tbl,void (*)(),static,,,801D8D70,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
system_read_cmd,LEOCmdRead,static,,,801D8DB0,1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
system_lba,u8,static,,,801D93C0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
read_id_cmd,LEOCmdRead,static,,,801D8DD0,1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leo_disk_id_lba,u8,static,,,801D9470,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ymdupper,u8,static,,,801D9B70,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dayupper,u8,static,,,801D9B78,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kantbl,,static,,,801CF168,A48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asc2tbl,,static,,,801CFC20,2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
__leoVersion,,,,,801E6800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
