,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,,
Debug rom,Pal MQ retail,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
sys_math_atan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EA4F0,800FB3F0,810,1104B0,8012D310,810,,,,,,,,,,
sys_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAD00,800FBC00,80,110CC0,8012DB20,80,,,,,,,,,,
sys_ucode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAD80,800FBC80,10,110D40,8012DBA0,10,,,,,,,,,,
sys_rumble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAD90,800FBC90,10,110D50,8012DBB0,10,,,,,,,,,,
code_800D31A0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110D60,8012DBC0,10,,,,,,,,,,
irqmgr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EADA0,800FBCA0,20,110D70,8012DBD0,20,,,,,,,,,,
debug_malloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110D90,8012DBF0,10,,,,,,,,,,
fault,,,,,,EDE80,801D5530,,,,,,,,0EE280,800FF960,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,EADC0,800FBCC0,60,110DA0,8012DC00,60,,,,,,,,,,
fault_drawer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAE20,800FBD20,40,110E00,8012DC60,40,,,,,,,,,,
ucode_disas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110E40,8012DCA0,3F0,,,,,,,,,,
audio_lib_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EAE60,800FBD60,2410,111230,8012E090,2410,,,,,,,,,,
audio_lib_synthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED270,800FE170,30,113640,801304A0,30,,,,,,,,,,
audio_lib_load,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED2A0,800FE1A0,10,113670,801304D0,10,,,,,,,,,,
audio_lib_thread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED2B0,800FE1B0,20,113680,801304E0,20,,,,,,,,,,
audio_lib_aisetnextbuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED2D0,800FE1D0,10,1136A0,80130500,10,,,,,,,,,,
audio_lib_effects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED2E0,800FE1E0,10,1136B0,80130510,10,,,,,,,,,,
audio_lib_seqplayer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED2F0,800FE1F0,50,1136C0,80130520,50,,,,,,,,,,
audio_general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ED340,800FE240,1720,113710,80130570,1A00,,,,,,,,,,
audio_sfx_params,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EEA60,800FF960,13D0,115110,80131F70,13D0,,,,,,,,,,
audio_sfx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1164E0,80133340,50,,,,,,,,,,
audio_sequence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116530,80133390,10,,,,,,,,,,
audio_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EFE30,80100D30,70,116540,801333A0,80,,,,,,,,,,
audio_session_config,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EFEA0,80100DA0,7A0,1165C0,80133420,7A0,,,,,,,,,,
logseverity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0640,80101540,10,116D60,80133BC0,10,,,,,,,,,,
gfxprint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0650,80101550,8B0,116D70,80133BD0,8B0,,,,,,,,,,
code_800FC620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0F00,80101E00,20,117620,80134480,20,,,,,,,,,,
fp,,,,,,,,,,,,,,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0F20,80101E20,10,117640,801344A0,10,,,,,,,,,,
system_malloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117650,801344B0,10,,,,,,,,,,
code_800FD970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0F30,80101E30,10,117660,801344C0,10,,,,,,,,,,
__osMalloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F0F40,80101E40,10,,,,,,,,,,,,,
