,,,ner,,,ne0,,,ne1,,,np0,,,ne2,,,np1,,,neg,,,cjo,,,cjm,,,ceo,,,cem,,,cpo,,,cpod1,,,cpod2,,,cpm,,,cpmd,,,cjc,,,iqs,,,iqt,,,
Debug rom,Pal MQ retail,Notes,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,iQue
code_800BB0A0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4790,80105690,10,126E80,80143CE0,10,,,,,,,,,,
mempak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126E90,80143CF0,120,,,,,,,,,,
z_kaleido_manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F47A0,801056A0,20,126FB0,80143E10,140,,,,FA5B0,80113550,20,,,,
z_kaleido_scope_call,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1270F0,80143F50,240,,,,-,-,-,,,,
z_play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F47C0,801056C0,C0,127330,80144190,890,,,,FA5D0,80113570,,,,,
PreRender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127BC0,80144A20,260,,,,,,,,,,
audio_thread_manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127E20,80144C80,70,,,,,,,,,,
title_setup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127E90,80144CF0,20,,,,,,,,,,
game,,,,,,0F7CE0,80108D80,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F4880,80105780,20,127EB0,80144D10,3E0,,,,FA690,80113630,20,,,,
gamealloc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128290,801450F0,90,,,,-,-,-,,,,
graph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F48A0,801057A0,50,128320,80145180,4D0,,,,FA6B0,80113650,50,,,,
