ovl_Bg_Hidan_Kowarerukabe,C58D60,C59DC0,C58D60,0
ovl_Bg_Hidan_Rock,C59DC0,C5AF40,C59DC0,0
ovl_Bg_Hidan_Rsekizou,C5AF40,C5BC00,C5AF40,0
ovl_Bg_Hidan_Sekizou,C5BC00,C5D110,C5BC00,0
ovl_Bg_Hidan_Sima,C5D110,C5E100,C5D110,0
ovl_Bg_Hidan_Syoku,C5E100,C5E550,C5E100,0
ovl_Bg_Ice_Objects,C5E550,C5F480,C5E550,0
ovl_Bg_Ice_Shelter,C5F480,C60800,C5F480,0
ovl_Bg_Ice_Shutter,C60800,C60C60,C60800,0
ovl_Bg_Ice_Turara,C60C60,C61480,C60C60,0
ovl_Bg_Ingate,C61480,C618A0,C61480,0
ovl_Bg_Jya_1flift,C618A0,C62000,C618A0,0
ovl_Bg_Jya_Amishutter,C62000,C62420,C62000,0
ovl_Bg_Jya_Bigmirror,C62420,C62EE0,C62420,0
ovl_Bg_Jya_Block,C62EE0,C631E0,C62EE0,0
ovl_Bg_Jya_Bombchuiwa,C631E0,C63EE0,C631E0,0
ovl_Bg_Jya_Bombiwa,C63EE0,C64630,C63EE0,0
ovl_Bg_Jya_Cobra,C64630,C666B0,C64630,0
ovl_Bg_Jya_Goroiwa,C666B0,C66E00,C666B0,0
ovl_Bg_Jya_Haheniron,C66E00,C675E0,C66E00,0
ovl_Bg_Jya_Ironobj,C675E0,C68480,C675E0,0
ovl_Bg_Jya_Kanaami,C68480,C688E0,C68480,0
ovl_Bg_Jya_Lift,C688E0,C68E70,C688E0,0
ovl_Bg_Jya_Megami,C68E70,C6A180,C68E70,0
ovl_Bg_Jya_Zurerukabe,C6A180,C6A9B0,C6A180,0
ovl_Bg_Menkuri_Eye,C6A9B0,C6AEE0,C6A9B0,0
ovl_Bg_Menkuri_Kaiten,C6AEE0,C6B060,C6AEE0,0
ovl_Bg_Menkuri_Nisekabe,C6B060,C6B1B0,C6B060,0
ovl_Bg_Mizu_Bwall,C6B1B0,C6C960,C6B1B0,0
ovl_Bg_Mizu_Movebg,C6C960,C6DB70,C6C960,0
ovl_Bg_Mizu_Shutter,C6DB70,C6E400,C6DB70,0
ovl_Bg_Mizu_Uzu,C6E400,C6E5D0,C6E400,0
ovl_Bg_Mizu_Water,C6E5D0,C6F4A0,C6E5D0,0
ovl_Bg_Mjin,C6F4A0,C6F8E0,C6F4A0,0
ovl_Bg_Mori_Bigst,C6F8E0,C70520,C6F8E0,0
ovl_Bg_Mori_Elevator,C70520,C71280,C70520,0
ovl_Bg_Mori_Hashigo,C71280,C71D80,C71280,0
ovl_Bg_Mori_Hashira4,C71D80,C724E0,C71D80,0
ovl_Bg_Mori_Hineri,C724E0,C73350,C724E0,0
ovl_Bg_Mori_Idomizu,C73350,C73AD0,C73350,0
ovl_Bg_Mori_Kaitenkabe,C73AD0,C74280,C73AD0,0
ovl_Bg_Mori_Rakkatenjo,C74280,C74F20,C74280,0
ovl_Bg_Po_Event,C74F20,C76DB0,C74F20,0
ovl_Bg_Po_Syokudai,C76DB0,C777E0,C76DB0,0
ovl_Bg_Pushbox,C777E0,C77B50,C777E0,0
ovl_Bg_Relay_Objects,C77B50,C782E0,C77B50,0
ovl_Bg_Spot00_Break,C782E0,C78480,C782E0,0
ovl_Bg_Spot00_Hanebasi,C78480,C796C0,C78480,0
