name,text size,data size,rodata size,ovl size,bss size
ovl_008F3280,0x470,0x20,0x20,0x0,0x0
ovl_008F3780,0x640,0x40,0x30,0x0,0x0
ovl_008F3EC0,0x2C0,0x100,0x10,0x0,0x0
ovl_008F42E0,0x1B0,0x30,0x0,0x0,0x0
ovl_008F44F0,0x300,0x40,0x10,0x0,0x0
ovl_008F4890,0x4C0,0x20,0x10,0x0,0x0
ovl_008F4DC0,0x180,0x20,0x0,0x0,0x0
ovl_008F4F90,0x240,0x40,0x10,0x0,0x0
ovl_008F5270,0x340,0x50,0x20,0x0,0x0
ovl_008F56A0,0x330,0x30,0x20,0x0,0x0
ovl_008F5A80,0x1F0,0x20,0x0,0x0,0x0
ovl_008F5CD0,0x210,0x30,0x10,0x0,0x0
ovl_008F5F70,0x340,0x20,0x10,0x0,0x0
ovl_008F6320,0x290,0x20,0x0,0x0,0x0
ovl_008F6600,0x510,0x40,0x20,0x0,0x0
ovl_008F6BE0,0x270,0x30,0x10,0x0,0x0
ovl_008F6ED0,0x440,0x30,0x10,0x0,0x0
ovl_008F73B0,0x360,0x20,0x10,0x0,0x0
ovl_008F7770,0x900,0x20,0x30,0x0,0x0
ovl_008F8140,0x4B0,0x20,0x20,0x0,0x0
ovl_008F8690,0x360,0x20,0x20,0x0,0x0
ovl_008F8A80,0x4F0,0x20,0x10,0x0,0x0
ovl_008F8FE0,0x590,0x20,0x30,0x0,0x0
ovl_008F9650,0x240,0x20,0x0,0x0,0x0
ovl_008F98E0,0x3D0,0x20,0x10,0x0,0x0
ovl_008F9D20,0x190,0x20,0x0,0x0,0x0
ovl_008F9F00,0x3C0,0x20,0x10,0x0,0x0
ovl_008FA340,0x250,0x20,0x0,0x0,0x0
ovl_008FA5E0,0x560,0x70,0x20,0x0,0x0
ovl_008FAC50,0x210,0x20,0x10,0x0,0x0
ovl_008FAED0,0x4D0,0x30,0x20,0x0,0x0
ovl_008FB460,0x230,0x30,0x10,0x0,0x0
ovl_008FB710,0x400,0x20,0x10,0x0,0x0
ovl_008FBB90,0x370,0x20,0x10,0x0,0x0
ovl_008FBF70,0x240,0x20,0x10,0x0,0x0
ovl_008FC210,0x520,0x30,0x20,0x0,0x0
ovl_008FC7E0,0x1C0,0x30,0x10,0x0,0x0
ovl_008FCA20,0x9A0,0x40,0x60,0x0,0x0
ovl_008FD520,0x7B0,0x60,0x30,0x0,0x0
ovl_008FDE10,0x130,0x20,0x0,0x0,0x0
ovl_008FDF90,0x3D0,0x20,0x10,0x0,0x0
ovl_008FE3E0,0x5E0,0x110,0x10,0x0,0x0
ovl_008FEB60,0x2C0,0x20,0x10,0x0,0x0
ovl_008FEE80,0x2A0,0x20,0x0,0x0,0x0
ovl_008FF170,0x540,0x60,0x20,0x0,0x0
ovl_008FF7C0,0x410,0x30,0x20,0x0,0x0
ovl_008FFC90,0x700,0x100,0x20,0x0,0x0
ovl_00900530,0x610,0x100,0x20,0x0,0x0
ovl_00900CD0,0x750,0x100,0x20,0x0,0x0
ovl_009015C0,0x610,0x100,0x20,0x0,0x0
ovl_00901D60,0x320,0x30,0x20,0x0,0x0
ovl_00902120,0x500,0x160,0x0,0x0,0x0
ovl_00902810,0x3E0,0x20,0x0,0x0,0x0
ovl_00902C40,0x520,0x30,0x10,0x0,0x0
ovl_009031F0,0x220,0x20,0x0,0x0,0x0
ovl_00903460,0x680,0x50,0x10,0x0,0x0
ovl_00903B90,0x0,0x20,0x0,0x0,0x0
ovl_00903BD0,0x690,0x50,0x0,0x0,0x0
ovl_00904330,0x6F0,0x20,0x10,0x0,0x0
ovl_00904AB0,0x6F0,0x30,0x20,0x0,0x0
ovl_00905280,0x6D0,0x30,0x20,0x0,0x0
ovl_00905A30,0x580,0x50,0x10,0x0,0x0
ovl_00906060,0x160,0x20,0x10,0x0,0x0
ovl_00906220,0x0,0x50,0x0,0x0,0x0
ovl_00906290,0x0,0x50,0x0,0x0,0x0
ovl_00906300,0x0,0x50,0x0,0x0,0x0
ovl_00906370,0x0,0x50,0x0,0x0,0x0
ovl_009063E0,0x0,0x50,0x0,0x0,0x0
ovl_00906450,0x0,0x50,0x0,0x0,0x0
ovl_009064C0,0x0,0x50,0x0,0x0,0x0
ovl_00906530,0x0,0x50,0x0,0x0,0x0
ovl_009065A0,0x0,0x50,0x0,0x0,0x0
ovl_00906610,0x0,0x50,0x0,0x0,0x0
ovl_00906680,0x0,0x50,0x0,0x0,0x0
ovl_009066F0,0x390,0x90,0x10,0x0,0x0
ovl_00906B80,0x300,0x60,0x0,0x0,0x0
ovl_00906F10,0x0,0x50,0x0,0x0,0x0
ovl_00906F80,0x0,0x50,0x0,0x0,0x0
ovl_00906FF0,0x0,0x50,0x0,0x0,0x0
ovl_00907060,0x0,0x50,0x0,0x0,0x0
ovl_009070D0,0x0,0x50,0x0,0x0,0x0
ovl_00907140,0x0,0x50,0x0,0x0,0x0
ovl_009071B0,0x390,0x90,0x10,0x0,0x0
ovl_00907640,0x0,0x50,0x0,0x0,0x0
ovl_009076B0,0x0,0x50,0x0,0x0,0x0
ovl_00907720,0x0,0x50,0x0,0x0,0x0
ovl_00907790,0x300,0x60,0x0,0x0,0x0
ovl_00907B20,0x0,0x50,0x0,0x0,0x0
ovl_00907B90,0x0,0x50,0x0,0x0,0x0
ovl_00907C00,0x0,0x50,0x0,0x0,0x0
ovl_00907C70,0x0,0x50,0x0,0x0,0x0
ovl_00907CE0,0x0,0x50,0x0,0x0,0x0
ovl_00907D50,0x0,0x50,0x0,0x0,0x0
ovl_00907DC0,0x0,0x50,0x0,0x0,0x0
ovl_00907E30,0x0,0x50,0x0,0x0,0x0
ovl_00907EA0,0x0,0x50,0x0,0x0,0x0
ovl_00907F10,0x80,0x60,0x0,0x0,0x0
ovl_00908020,0x80,0x60,0x0,0x0,0x0
ovl_00908130,0x80,0x60,0x0,0x0,0x0
ovl_00908240,0x90,0x60,0x0,0x0,0x0
ovl_00908350,0x0,0x50,0x0,0x0,0x0
ovl_009083C0,0x0,0x50,0x0,0x0,0x0
ovl_00908430,0x0,0x50,0x0,0x0,0x0
ovl_009084A0,0x0,0x50,0x0,0x0,0x0
ovl_00908510,0x0,0x50,0x0,0x0,0x0
ovl_00908580,0x300,0x60,0x0,0x0,0x0
ovl_00908910,0x0,0x50,0x0,0x0,0x0
ovl_00908980,0x0,0x50,0x0,0x0,0x0
ovl_009089F0,0x0,0x50,0x0,0x0,0x0
ovl_00908A60,0x0,0x50,0x0,0x0,0x0
ovl_00908AD0,0x0,0x50,0x0,0x0,0x0
ovl_00908B40,0x0,0x50,0x0,0x0,0x0
ovl_00908BB0,0x0,0x50,0x0,0x0,0x0
ovl_00908C20,0x0,0x50,0x0,0x0,0x0
ovl_00908C90,0x0,0x50,0x0,0x0,0x0
ovl_00908D00,0x0,0x50,0x0,0x0,0x0
ovl_00908D70,0x0,0x50,0x0,0x0,0x0
ovl_00908DE0,0x0,0x50,0x0,0x0,0x0
ovl_00908E50,0x0,0x50,0x0,0x0,0x0
ovl_00908EC0,0x0,0x50,0x0,0x0,0x0
ovl_00908F30,0x3D0,0xD0,0x0,0x0,0x0
ovl_00909410,0x0,0x50,0x0,0x0,0x0
ovl_00909480,0x0,0x50,0x0,0x0,0x0
ovl_009094F0,0x0,0x50,0x0,0x0,0x0
ovl_00909560,0x0,0x50,0x0,0x0,0x0
ovl_009095D0,0x80,0x60,0x0,0x0,0x0
ovl_009096E0,0x90,0x60,0x0,0x0,0x0
ovl_009097F0,0x80,0x60,0x0,0x0,0x0
ovl_00909900,0x0,0x50,0x0,0x0,0x0
ovl_00909970,0x0,0x50,0x0,0x0,0x0
ovl_009099E0,0x0,0x50,0x0,0x0,0x0
ovl_00909A50,0x80,0x60,0x0,0x0,0x0
ovl_00909B60,0x300,0x60,0x0,0x0,0x0
ovl_00909EF0,0x0,0x50,0x0,0x0,0x0
ovl_00909F60,0x0,0x50,0x0,0x0,0x0
ovl_00909FD0,0x0,0x50,0x0,0x0,0x0
ovl_0090A040,0x300,0x60,0x0,0x0,0x0
ovl_0090A3D0,0x0,0x50,0x0,0x0,0x0
ovl_0090A440,0x0,0x50,0x0,0x0,0x0
ovl_0090A4B0,0x0,0x50,0x0,0x0,0x0
ovl_0090A520,0x7B0,0x70,0x10,0x0,0x0
ovl_0090ADB0,0x0,0x50,0x0,0x0,0x0
ovl_0090AE20,0x300,0x60,0x0,0x0,0x0
ovl_0090B1B0,0x0,0x50,0x0,0x0,0x0
ovl_0090B220,0x0,0x50,0x0,0x0,0x0
ovl_0090B290,0x0,0x50,0x0,0x0,0x0
ovl_0090B300,0x0,0x50,0x0,0x0,0x0
ovl_0090B370,0x0,0x50,0x0,0x0,0x0
ovl_0090B3E0,0x0,0x50,0x0,0x0,0x0
ovl_0090B450,0x0,0x50,0x0,0x0,0x0
ovl_0090B4C0,0x0,0x50,0x0,0x0,0x0
ovl_0090B530,0x0,0x50,0x0,0x0,0x0
ovl_0090B5A0,0x0,0x50,0x0,0x0,0x0
ovl_0090B610,0x300,0x60,0x0,0x0,0x0
ovl_0090B9A0,0x0,0x50,0x0,0x0,0x0
ovl_0090BA10,0x0,0x50,0x0,0x0,0x0
ovl_0090BA80,0x0,0x50,0x0,0x0,0x0
ovl_0090BAF0,0x0,0x50,0x0,0x0,0x0
ovl_0090BB60,0x80,0x60,0x0,0x0,0x0
ovl_0090BC70,0x0,0x50,0x0,0x0,0x0
ovl_0090BCE0,0x300,0x60,0x0,0x0,0x0
ovl_0090C070,0x0,0x50,0x0,0x0,0x0
ovl_0090C0E0,0x110,0x60,0x0,0x0,0x0
ovl_0090C280,0x50,0x60,0x0,0x0,0x0
ovl_0090C360,0x80,0x60,0x0,0x0,0x0
ovl_0090C470,0x80,0x60,0x0,0x0,0x0
ovl_0090C580,0x80,0x60,0x0,0x0,0x0
ovl_0090C690,0x0,0x50,0x0,0x0,0x0
ovl_0090C700,0x0,0x50,0x0,0x0,0x0
ovl_0090C770,0x0,0x50,0x0,0x0,0x0
ovl_0090C7E0,0x0,0x50,0x0,0x0,0x0
ovl_0090C850,0x80,0x60,0x0,0x0,0x0
ovl_0090C960,0x0,0x50,0x0,0x0,0x0
ovl_0090C9D0,0x90,0x60,0x0,0x0,0x0
ovl_0090CAE0,0x320,0x70,0x0,0x0,0x0
ovl_0090CEA0,0x80,0x60,0x0,0x0,0x0
ovl_0090CFB0,0x420,0x60,0x10,0x0,0x0
ovl_0090D480,0x0,0x50,0x0,0x0,0x0
ovl_0090D4F0,0x0,0x50,0x0,0x0,0x0
ovl_0090D560,0x0,0x50,0x0,0x0,0x0
ovl_0090D5D0,0x0,0x50,0x0,0x0,0x0
ovl_0090D640,0x0,0x50,0x0,0x0,0x0
ovl_0090D6B0,0x0,0x50,0x0,0x0,0x0
ovl_0090D720,0x3D0,0x70,0x0,0x0,0x0
ovl_0090DBA0,0x0,0x50,0x0,0x0,0x0
ovl_0090DC10,0x0,0x50,0x0,0x0,0x0
ovl_0090DC80,0x0,0x50,0x0,0x0,0x0
ovl_0090DCF0,0x0,0x50,0x0,0x0,0x0
ovl_0090DD60,0x0,0x50,0x0,0x0,0x0
ovl_0090DDD0,0x0,0x50,0x0,0x0,0x0
ovl_0090DE40,0x0,0x50,0x0,0x0,0x0
ovl_0090DEB0,0x0,0x50,0x0,0x0,0x0
ovl_0090DF20,0x0,0x50,0x0,0x0,0x0
ovl_0090DF90,0x0,0x50,0x0,0x0,0x0
ovl_0090E000,0x0,0x50,0x0,0x0,0x0
ovl_0090E070,0x0,0x50,0x0,0x0,0x0
ovl_0090E0E0,0x0,0x50,0x0,0x0,0x0
ovl_0090E150,0x0,0x50,0x0,0x0,0x0
ovl_0090E1C0,0x0,0x50,0x0,0x0,0x0
ovl_0090E230,0x0,0x50,0x0,0x0,0x0
ovl_0090E2A0,0x0,0x50,0x0,0x0,0x0
ovl_0090E310,0x0,0x50,0x0,0x0,0x0
ovl_0090E380,0x0,0x50,0x0,0x0,0x0
ovl_0090E3F0,0x0,0x50,0x0,0x0,0x0
ovl_0090E460,0x340,0x70,0x10,0x0,0x0
ovl_0090E880,0x0,0x50,0x0,0x0,0x0
ovl_0090E8F0,0x0,0x50,0x0,0x0,0x0
ovl_0090E960,0x0,0x50,0x0,0x0,0x0
ovl_0090E9D0,0x0,0x50,0x0,0x0,0x0
ovl_0090EA40,0x0,0x50,0x0,0x0,0x0
ovl_0090EAB0,0x0,0x50,0x0,0x0,0x0
ovl_0090EB20,0x0,0x50,0x0,0x0,0x0
ovl_0090EB90,0x0,0x50,0x0,0x0,0x0
ovl_0090EC00,0x0,0x50,0x0,0x0,0x0
ovl_0090EC70,0x0,0x50,0x0,0x0,0x0
ovl_0090ECE0,0x0,0x50,0x0,0x0,0x0
ovl_0090ED50,0x0,0x50,0x0,0x0,0x0
ovl_0090EDC0,0x0,0x50,0x0,0x0,0x0
ovl_0090EE30,0x0,0x50,0x0,0x0,0x0
ovl_0090EEA0,0x0,0x50,0x0,0x0,0x0
ovl_0090EF10,0x0,0x50,0x0,0x0,0x0
ovl_0090EF80,0x0,0x50,0x0,0x0,0x0
