8013FAF8,View_RenderToPerspectiveMatrix
8013FDCC,View_RenderToOrthographicMatrix
8013FF78,func_8013FBC8
80140124,func_8013FD74
801403D4,View_UpdateViewingMatrix
8014047C,func_801400CC
80161D70,ShrinkWindow_SetLetterboxTarget
80161D84,ShrinkWindow_GetLetterboxTarget
80161D98,ShrinkWindow_SetLetterboxMagnitude
80161DAC,ShrinkWindow_GetLetterboxMagnitude
80161DC0,ShrinkWindow_SetPillarboxTarget
80161DD4,ShrinkWindow_GetPillarboxTarget
80161DE8,ShrinkWindow_SetPillarboxMagnitude
80161DFC,ShrinkWindow_GetPillarboxMagnitude
80161E10,ShrinkWindow_Init
80161E44,ShrinkWindow_Destroy
80161E54,ShrinkWindow_Update
80161F08,ShrinkWindow_Draw
801739B0,THGA_Ct
801739D0,THGA_Dt
801739F0,THGA_IsCrash
80173A10,THGA_Init
80173A30,THGA_GetSize
80173A50,THGA_GetHead
80173A70,THGA_SetHead
80173A90,THGA_GetTail
80173AB0,THGA_AllocStartArray8
80173AD4,THGA_AllocStart8
80173AF4,THGA_AllocStart8Wrapper
80173B14,THGA_AllocEnd
80173B34,THGA_AllocEndArray64
80173B58,THGA_AllocEnd64
80173B78,THGA_AllocEndArray16
80173B9C,THGA_AllocEnd16
80173BC0,THA_GetHead
80173BCC,THA_SetHead
80173BD8,THA_GetTail
80173BE4,THA_AllocHead
80173BF8,THA_AllocHeadByte
80173C18,THA_AllocTail
80173C88,THA_AllocTailAlign16
80173CA8,THA_AllocTailAlign
80173CC4,THA_GetRemaining
80173CD8,THA_IsCrash
80173CFC,THA_Reset
80173D18,THA_Init
80173D5C,THA_Destroy
80174520,Game_UpdateFramerateVariables
80174568,Game_SetFramerateDivisor
8017459C,GameState_SetFBFilter
801746F4,Game_Nop80173534
80174700,GameState_Draw
80174804,GameState_SetFrameBuffer
8017489C,func_801736DC
80174914,Game_UpdateInput
8017493C,Game_Update
801749A4,Game_IncrementFrameCount
801749D0,GameState_InitArena
80174A40,GameState_Realloc
80174B10,GameState_Init
80174C10,GameState_Destroy
80174CC0,GameState_GetNextStateInit
80174CCC,GameState_GetNextStateSize
80174CD8,GameState_IsRunning
80174CE4,GameState_GetArenaSize
80174D08,func_80173B48
80175C00,Graph_GfxPlusOne
80175C0C,Graph_BranchDlist
80175C24,Graph_DlistAlloc
801811F0,Matrix_Init
8018122C,Matrix_Push
8018125C,Matrix_Pop
80181278,Matrix_Get
8018129C,Matrix_Put
801812C4,Matrix_GetCurrent
801812D4,Matrix_Mult
8018132C,Matrix_Translate
8018142C,Matrix_Scale
80181508,Matrix_RotateXS
801816A0,Matrix_RotateXF
80181848,Matrix_RotateXFApply
80181990,Matrix_RotateXFNew
80181A3C,Matrix_RotateYS
80181BD8,Matrix_RotateYF
80181D88,Matrix_RotateZS
80181F20,Matrix_RotateZF
801820CC,Matrix_RotateZYX
8018238C,Matrix_TranslateRotateZYX
801826E0,Matrix_SetTranslateRotateYXZ
8018288C,Matrix_MtxFToMtx
80182AA8,Matrix_ToMtx
80182AD0,Matrix_NewMtx
80182AFC,Matrix_MtxFToNewMtx
80182B28,Matrix_MultVec3f
80182BE0,Matrix_MultZero
80182C08,Matrix_MultVecX
80182C54,Matrix_MultVecY
80182CA0,Matrix_MultVecZ
80182CEC,Matrix_MultVec3fXZ
80182D6C,Matrix_MtxFCopy
80182DF4,Matrix_MtxToMtxF
80183048,Matrix_MultVec3fExt
801830F8,Matrix_Transpose
80183130,Matrix_ReplaceRotation
8018322C,Matrix_MtxFToYXZRot
80183354,Matrix_MtxFToZYXRot
8018347C,Matrix_RotateAxisF
801838DC,Matrix_RotateAxisS
801A4ED0,audio_setBGM
80814808,FileChoose_Main
8081522C,FileChoose_Destroy
80815250,FileChoose_Init
