File,,Notes,nj0,,,nj1,,,ne0,,,np0,,,np1,,,nek,,,npd,,,cj0,,,ce0,,,cp0,,
,,,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
game,,,,,,,,,12BA40,801D1500,10,,,,,,,12ABF0,801D0D10,10,,,,,,,,,,,,
graph,,,,,,,,,12BA50,801D1510,10,,,,,,,12AC00,801D0D20,10,,,,,,,,,,,,
main,,,,,,,,,12BA60,801D1520,10,,,,,,,12AC10,801D0D30,10,,,,,,,,,,,,
padmgr,,,,,,,,,12BA70,801D1530,10,,,,,,,12AC20,801D0D40,10,,,,,,,,,,,,
speed_meter,,,,,,,,,12BA80,801D1540,30,,,,,,,12AC30,801D0D50,30,,,,,,,,,,,,
sys_math,,,,,,,,,12BAB0,801D1570,40,,,,,,,12AC60,801D0D80,40,,,,,,,,,,,,
code_801D15B0,,,,,,,,,12BAF0,801D15B0,20,,,,,,,12ACA0,801D0DC0,20,,,,,,,,,,,,
sys_math_atan,,,,,,,,,12BB10,801D15D0,810,,,,,,,12ACC0,801D0DE0,810,,,,,,,,,,,,
sys_matrix,,,,,,,,,12C320,801D1DE0,80,,,,,,,12B4D0,801D15F0,80,,,,,,,,,,,,
sys_ucode,,,,,,,,,12C3A0,801D1E60,10,,,,,,,12B550,801D1670,10,,,,,,,,,,,,
code_801D1E70,,,,,,,,,12C3B0,801D1E70,1010,,,,,,,12B560,801D1680,1010,,,,,,,,,,,,
audio_data,,,,,,,,,12D3C0,801D2E80,3130,,,,,,,12C570,801D2690,3130,,,,,,,,,,,,
audio_synthesis,,,,,,,,,1304F0,801D5FB0,30,,,,,,,12F6A0,801D57C0,30,,,,,,,,,,,,
audio_load,,,,,,,,,130520,801D5FE0,10,,,,,,,12F6D0,801D57F0,10,,,,,,,,,,,,
code_80192BE0,,,,,,,,,130530,801D5FF0,20,,,,,,,12F6E0,801D5800,20,,,,,,,,,,,,
code_80194790,,,,,,,,,130550,801D6010,180,,,,,,,12F700,801D5820,180,,,,,,,,,,,,
audio_effects,,,,,,,,,1306D0,801D6190,10,,,,,,,12F880,801D59A0,10,,,,,,,,,,,,
audio_seqplayer,,,,,,,,,1306E0,801D61A0,60,,,,,,,12F890,801D59B0,60,,,,,,,,,,,,
audio_dramStack,,,,,,,,,130740,801D6200,400,,,,,,,12F8F0,801D5A10,400,,,,,,,,,,,,
code_8019AF00,,,,,,,,,130B40,801D6600,25E0,,,,,,,12FCF0,801D5E10,25E0,,,,,,,,,,,,
code_801A4EB0,,,,,,,,,133120,801D8BE0,270,,,,,,,1322D0,801D83F0,270,,,,,,,,,,,,
code_801A51F0,,,,,,,,,133390,801D8E50,240,,,,,,,132540,801D8660,240,,,,,,,,,,,,
audio_sound_params,,,,,,,,,1335D0,801D9090,23E0,,,,,,,132780,801D88A0,23E0,,,,,,,,,,,,
code_801A5BD0,,,,,,,,,1359B0,801DB470,50,,,,,,,134B60,801DAC80,50,,,,,,,,,,,,
code_801A7B10,,,,,,,,,135A00,801DB4C0,930,,,,,,,134BB0,801DACD0,930,,,,,,,,,,,,
