File,,Notes,nj0,,,nj1,,,ne0,,,np0,,,np1,,,nek,,,npd,,,ce0,,,cp0,,,cj0,,
,,,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size,Offset,VRAM,Size
guScale,,,91E0,80089240,B0,9140,800891A0,B0,8240,800882A0,B0,82A0,80088300,B0,83E0,80088440,B0,87A0,80088800,B0,,,,88A0,80088900,B0,,,,,,
sinf,,,9290,800892F0,1C0,91F0,80089250,1C0,82F0,80088350,1C0,8350,800883B0,1C0,8490,800884F0,1C0,8850,800888B0,1C0,,,,8950,800889B0,1C0,,,,,,
sins,,,9450,800894B0,70,93B0,80089410,70,84B0,80088510,70,8510,80088570,70,8650,800886B0,70,8A10,80088A70,70,,,,8B10,80088B70,70,,,,,,
sptask,,,94C0,80089520,2C0,9420,80089480,2C0,8520,80088580,2C0,8580,800885E0,2C0,86C0,80088720,2C0,8A80,80088AE0,2C0,,,,8B80,80088BE0,2C0,,,,,,
ll,,,9780,800897E0,2C0,96E0,80089740,2C0,87E0,80088840,2C0,8840,800888A0,2C0,8980,800889E0,2C0,8D40,80088DA0,2C0,,,,8E40,80088EA0,2C0,,,,,,
exceptasm,,,9A40,80089AA0,930,99A0,80089A00,930,8AA0,80088B00,930,8B00,80088B60,930,8C40,80088CA0,930,9000,80089060,930,,,,9100,80089160,930,,,,,,
thread,,,A370,8008A3D0,40,A2D0,8008A330,40,93D0,80089430,40,9430,80089490,40,9570,800895D0,40,9930,80089990,40,,,,9A30,80089A90,40,,,,,,
destroythread,,,A3B0,8008A410,110,A310,8008A370,110,9410,80089470,110,9470,800894D0,110,95B0,80089610,110,9970,800899D0,110,,,,9A70,80089AD0,110,,,,,,
voicecheckresult,,,A4C0,8008A520,B0,A420,8008A480,B0,9520,80089580,B0,9580,800895E0,B0,96C0,80089720,B0,9A80,80089AE0,B0,,,,9B80,80089BE0,B0,,,,,,
bzero,,,A570,8008A5D0,A0,A4D0,8008A530,A0,95D0,80089630,A0,9630,80089690,A0,9770,800897D0,A0,9B30,80089B90,A0,,,,9C30,80089C90,A0,,,,,,
motor,,,A610,8008A670,3D0,A570,8008A5D0,3D0,9670,800896D0,3D0,96D0,80089730,3D0,9810,80089870,3D0,9BD0,80089C30,3D0,,,,9CD0,80089D30,3D0,,,,,,
siacs,,,A9E0,8008AA40,C0,A940,8008A9A0,C0,9A40,80089AA0,C0,9AA0,80089B00,C0,9BE0,80089C40,C0,9FA0,8008A000,C0,,,,A0A0,8008A100,C0,,,,,,
controller,,,AAA0,8008AB00,2E0,AA00,8008AA60,2E0,9B00,80089B60,2E0,9B60,80089BC0,2E0,9CA0,80089D00,2E0,A060,8008A0C0,2E0,,,,A160,8008A1C0,2E0,,,,,,
createthread,,,AD80,8008ADE0,,ACE0,8008AD40,150,9DE0,80089E40,150,9E40,80089EA0,150,9F80,80089FE0,,A340,8008A3A0,150,,,,A440,8008A4A0,150,,,,,,
[PADDING],,,-,-,-,-,-,-,-,-,-,9F90,80089FF0,10,-,-,-,-,-,-,,,,-,-,-,,,,,,
