ovl_Bg_Hidan_Kousi,C58740,C58E00,C58740,0
ovl_Bg_Hidan_Kowarerukabe,C58E00,C59E60,C58E00,0
ovl_Bg_Hidan_Rock,C59E60,C5AFE0,C59E60,0
ovl_Bg_Hidan_Rsekizou,C5AFE0,C5BCA0,C5AFE0,0
ovl_Bg_Hidan_Sekizou,C5BCA0,C5D1B0,C5BCA0,0
ovl_Bg_Hidan_Sima,C5D1B0,C5E1A0,C5D1B0,0
ovl_Bg_Hidan_Syoku,C5E1A0,C5E5F0,C5E1A0,0
ovl_Bg_Ice_Objects,C5E5F0,C5F520,C5E5F0,0
ovl_Bg_Ice_Shelter,C5F520,C608A0,C5F520,0
ovl_Bg_Ice_Shutter,C608A0,C60D00,C608A0,0
ovl_Bg_Ice_Turara,C60D00,C61520,C60D00,0
ovl_Bg_Ingate,C61520,C61940,C61520,0
ovl_Bg_Jya_1flift,C61940,C620A0,C61940,0
ovl_Bg_Jya_Amishutter,C620A0,C624C0,C620A0,0
ovl_Bg_Jya_Bigmirror,C624C0,C62F80,C624C0,0
ovl_Bg_Jya_Block,C62F80,C63280,C62F80,0
ovl_Bg_Jya_Bombchuiwa,C63280,C63F80,C63280,0
ovl_Bg_Jya_Bombiwa,C63F80,C646D0,C63F80,0
ovl_Bg_Jya_Cobra,C646D0,C66750,C646D0,0
ovl_Bg_Jya_Goroiwa,C66750,C66EA0,C66750,0
ovl_Bg_Jya_Haheniron,C66EA0,C67680,C66EA0,0
ovl_Bg_Jya_Ironobj,C67680,C68520,C67680,0
ovl_Bg_Jya_Kanaami,C68520,C68980,C68520,0
ovl_Bg_Jya_Lift,C68980,C68F10,C68980,0
ovl_Bg_Jya_Megami,C68F10,C6A220,C68F10,0
ovl_Bg_Jya_Zurerukabe,C6A220,C6AA50,C6A220,0
ovl_Bg_Menkuri_Eye,C6AA50,C6AF80,C6AA50,0
ovl_Bg_Menkuri_Kaiten,C6AF80,C6B100,C6AF80,0
ovl_Bg_Menkuri_Nisekabe,C6B100,C6B250,C6B100,0
ovl_Bg_Mizu_Bwall,C6B250,C6CA00,C6B250,0
ovl_Bg_Mizu_Movebg,C6CA00,C6DC10,C6CA00,0
ovl_Bg_Mizu_Shutter,C6DC10,C6E4A0,C6DC10,0
ovl_Bg_Mizu_Uzu,C6E4A0,C6E670,C6E4A0,0
ovl_Bg_Mizu_Water,C6E670,C6F540,C6E670,0
ovl_Bg_Mjin,C6F540,C6F980,C6F540,0
ovl_Bg_Mori_Bigst,C6F980,C705C0,C6F980,0
ovl_Bg_Mori_Elevator,C705C0,C71320,C705C0,0
ovl_Bg_Mori_Hashigo,C71320,C71E20,C71320,0
ovl_Bg_Mori_Hashira4,C71E20,C72580,C71E20,0
ovl_Bg_Mori_Hineri,C72580,C733F0,C72580,0
ovl_Bg_Mori_Idomizu,C733F0,C73B70,C733F0,0
ovl_Bg_Mori_Kaitenkabe,C73B70,C74320,C73B70,0
ovl_Bg_Mori_Rakkatenjo,C74320,C74FC0,C74320,0
ovl_Bg_Po_Event,C74FC0,C76E50,C74FC0,0
ovl_Bg_Po_Syokudai,C76E50,C77880,C76E50,0
ovl_Bg_Pushbox,C77880,C77BF0,C77880,0
ovl_Bg_Relay_Objects,C77BF0,C78380,C77BF0,0
ovl_Bg_Spot00_Break,C78380,C78520,C78380,0
